Age,Annual_Income_INR,State,Category,Eligible_Scheme
22,1138587,Madhya Pradesh,SC,National Scholarship
34,833426,Gujarat,ST,Stand Up India
33,1144121,Maharashtra,OBC,PM Kisan
48,303668,Tamil Nadu,ST,PM Awas Yojana
48,140157,Madhya Pradesh,SC,PM Awas Yojana
23,296511,Karnataka,SC,National Scholarship
26,624770,Rajasthan,ST,Mudra Loan
64,837386,Bihar,ST,Atal Pension Yojana
30,764585,Madhya Pradesh,OBC,Ayushman Bharat
23,67244,Bihar,OBC,PM Kisan
41,1112408,Karnataka,OBC,PM Awas Yojana
57,611390,Maharashtra,ST,Atal Pension Yojana
35,425391,Tamil Nadu,SC,Atal Pension Yojana
69,221398,Rajasthan,ST,Atal Pension Yojana
32,729325,Rajasthan,EWS,PM Kisan
68,1062720,Gujarat,SC,Atal Pension Yojana
46,1028293,Uttar Pradesh,General,Ayushman Bharat
75,452960,Bihar,OBC,Atal Pension Yojana
76,854027,West Bengal,EWS,Atal Pension Yojana
76,1185617,Madhya Pradesh,ST,Atal Pension Yojana
24,65014,Uttar Pradesh,ST,Ayushman Bharat
49,396441,Maharashtra,EWS,National Scholarship
74,945720,Bihar,SC,Atal Pension Yojana
46,456578,Bihar,ST,Stand Up India
38,924270,Rajasthan,SC,National Scholarship
25,818502,Madhya Pradesh,SC,National Scholarship
19,896053,Madhya Pradesh,EWS,Mudra Loan
38,1006528,Maharashtra,OBC,National Scholarship
26,345309,Karnataka,ST,National Scholarship
76,518605,Uttar Pradesh,OBC,Atal Pension Yojana
59,543229,Karnataka,OBC,Atal Pension Yojana
24,1007960,Rajasthan,SC,National Scholarship
68,788401,Gujarat,EWS,Atal Pension Yojana
62,322774,Gujarat,EWS,Atal Pension Yojana
79,826814,Uttar Pradesh,ST,Atal Pension Yojana
21,464525,Karnataka,SC,National Scholarship
32,858298,Tamil Nadu,OBC,National Scholarship
55,1036150,Gujarat,General,Ayushman Bharat
80,1109490,Rajasthan,EWS,Atal Pension Yojana
35,776896,Rajasthan,EWS,Atal Pension Yojana
30,231136,Rajasthan,SC,National Scholarship
29,122425,Tamil Nadu,EWS,Ayushman Bharat
19,693630,Maharashtra,OBC,National Scholarship
56,656671,Tamil Nadu,General,Atal Pension Yojana
46,1145061,Uttar Pradesh,General,PM Kisan
51,1008273,Gujarat,SC,PM Awas Yojana
52,1055181,Madhya Pradesh,SC,Ayushman Bharat
62,746533,Karnataka,General,Atal Pension Yojana
31,802934,Rajasthan,General,Ayushman Bharat
39,133351,West Bengal,SC,Ayushman Bharat
52,723712,Uttar Pradesh,General,Mudra Loan
28,1023774,Madhya Pradesh,EWS,Mudra Loan
64,894133,Madhya Pradesh,SC,Atal Pension Yojana
32,237183,Rajasthan,General,Stand Up India
43,828713,Tamil Nadu,ST,Mudra Loan
67,949072,Maharashtra,OBC,Atal Pension Yojana
70,863205,Tamil Nadu,OBC,Atal Pension Yojana
50,462439,Rajasthan,EWS,National Scholarship
75,227158,Gujarat,EWS,Atal Pension Yojana
62,66677,Uttar Pradesh,SC,PM Awas Yojana
68,928696,Bihar,OBC,Atal Pension Yojana
44,983150,Gujarat,SC,Atal Pension Yojana
77,62414,Tamil Nadu,SC,PM Awas Yojana
19,1065926,Bihar,SC,Mudra Loan
67,431565,West Bengal,ST,Atal Pension Yojana
71,289823,Maharashtra,SC,Atal Pension Yojana
64,183871,Maharashtra,ST,Ayushman Bharat
52,1035605,Maharashtra,OBC,National Scholarship
36,118812,Gujarat,EWS,PM Kisan
50,307708,Tamil Nadu,ST,Stand Up India
23,729996,Uttar Pradesh,ST,National Scholarship
38,429919,Karnataka,OBC,Atal Pension Yojana
36,736065,Bihar,ST,National Scholarship
74,819222,West Bengal,EWS,Atal Pension Yojana
52,1039284,Rajasthan,EWS,Mudra Loan
36,1080481,Gujarat,ST,Atal Pension Yojana
20,498119,Bihar,EWS,National Scholarship
61,649419,Karnataka,EWS,Atal Pension Yojana
66,436799,Rajasthan,ST,Atal Pension Yojana
41,829670,Madhya Pradesh,EWS,PM Awas Yojana
75,224582,Uttar Pradesh,EWS,Atal Pension Yojana
56,519458,Bihar,OBC,Atal Pension Yojana
63,1199206,Bihar,SC,Atal Pension Yojana
22,61111,Madhya Pradesh,OBC,PM Kisan
28,282506,Gujarat,General,National Scholarship
61,495968,Bihar,SC,Atal Pension Yojana
22,1195642,Bihar,ST,National Scholarship
79,794647,Madhya Pradesh,ST,Atal Pension Yojana
67,389895,Gujarat,General,Atal Pension Yojana
69,162090,Bihar,SC,PM Kisan
28,411098,Gujarat,EWS,National Scholarship
29,142740,Tamil Nadu,ST,PM Awas Yojana
73,952047,Uttar Pradesh,ST,Atal Pension Yojana
64,1135901,Uttar Pradesh,OBC,Atal Pension Yojana
58,216919,Uttar Pradesh,EWS,Atal Pension Yojana
35,751934,West Bengal,EWS,Ayushman Bharat
25,1159944,Karnataka,EWS,National Scholarship
72,354192,Karnataka,EWS,Atal Pension Yojana
41,956919,Gujarat,ST,PM Awas Yojana
53,1049854,Madhya Pradesh,EWS,Stand Up India
77,378406,Tamil Nadu,ST,Atal Pension Yojana
74,334329,Tamil Nadu,General,Atal Pension Yojana
66,688358,Madhya Pradesh,ST,Atal Pension Yojana
74,942877,Gujarat,OBC,Atal Pension Yojana
73,805926,Gujarat,SC,Atal Pension Yojana
32,352631,Uttar Pradesh,General,PM Kisan
48,605482,West Bengal,EWS,Stand Up India
43,878097,Karnataka,SC,Mudra Loan
61,556352,Rajasthan,ST,Atal Pension Yojana
78,476162,Gujarat,General,Atal Pension Yojana
49,226291,Bihar,OBC,Atal Pension Yojana
68,747082,Gujarat,OBC,Atal Pension Yojana
46,573092,Uttar Pradesh,EWS,PM Awas Yojana
52,93490,West Bengal,EWS,PM Awas Yojana
64,1011115,Maharashtra,ST,Atal Pension Yojana
65,1023826,Uttar Pradesh,ST,Atal Pension Yojana
39,102554,Karnataka,EWS,PM Awas Yojana
40,85508,Madhya Pradesh,EWS,Ayushman Bharat
25,1093165,Maharashtra,General,Mudra Loan
76,685110,Tamil Nadu,General,Atal Pension Yojana
72,175829,Tamil Nadu,EWS,PM Kisan
68,298227,Maharashtra,ST,Atal Pension Yojana
28,347013,Karnataka,SC,Mudra Loan
77,868980,Maharashtra,EWS,Atal Pension Yojana
46,92293,Karnataka,EWS,PM Awas Yojana
21,1117132,Rajasthan,SC,National Scholarship
47,89088,Karnataka,ST,Ayushman Bharat
51,514931,Tamil Nadu,OBC,PM Awas Yojana
50,93029,Bihar,OBC,Ayushman Bharat
23,810312,Bihar,SC,National Scholarship
74,215406,Gujarat,General,Atal Pension Yojana
25,610115,Madhya Pradesh,SC,National Scholarship
71,217067,Bihar,EWS,Atal Pension Yojana
44,142459,Karnataka,EWS,PM Awas Yojana
58,412438,Maharashtra,ST,Atal Pension Yojana
19,868836,Tamil Nadu,EWS,National Scholarship
46,932629,Uttar Pradesh,SC,PM Awas Yojana
74,1194731,Gujarat,EWS,Atal Pension Yojana
20,225404,Madhya Pradesh,EWS,Mudra Loan
77,658800,Karnataka,General,Atal Pension Yojana
65,672174,Maharashtra,OBC,Atal Pension Yojana
66,744193,Uttar Pradesh,OBC,Atal Pension Yojana
37,872622,West Bengal,General,National Scholarship
29,936338,Karnataka,ST,Mudra Loan
41,99782,Maharashtra,OBC,Ayushman Bharat
77,411193,Madhya Pradesh,General,Atal Pension Yojana
62,700276,Madhya Pradesh,EWS,Atal Pension Yojana
35,74508,Tamil Nadu,EWS,PM Awas Yojana
39,590865,Maharashtra,ST,Ayushman Bharat
40,1023595,Maharashtra,SC,PM Kisan
49,351886,Madhya Pradesh,SC,Ayushman Bharat
69,985556,Rajasthan,ST,Atal Pension Yojana
36,947502,Karnataka,General,PM Kisan
36,277649,Madhya Pradesh,SC,PM Kisan
62,889595,Bihar,EWS,Atal Pension Yojana
48,259111,Karnataka,General,PM Awas Yojana
63,733423,Uttar Pradesh,General,Atal Pension Yojana
50,139100,Tamil Nadu,ST,Ayushman Bharat
69,663274,Tamil Nadu,SC,Atal Pension Yojana
29,341751,Karnataka,SC,National Scholarship
50,374092,Karnataka,EWS,Mudra Loan
63,335616,Bihar,EWS,Atal Pension Yojana
40,590674,Uttar Pradesh,ST,PM Kisan
72,1166309,Rajasthan,SC,Atal Pension Yojana
26,293451,West Bengal,SC,National Scholarship
67,188091,West Bengal,OBC,PM Kisan
39,608961,Maharashtra,SC,Stand Up India
62,407511,Madhya Pradesh,OBC,Atal Pension Yojana
29,174590,Maharashtra,ST,PM Kisan
20,135085,Bihar,SC,Ayushman Bharat
31,1069511,Rajasthan,OBC,PM Kisan
53,885368,Madhya Pradesh,SC,National Scholarship
42,99249,Tamil Nadu,General,PM Awas Yojana
65,551808,Madhya Pradesh,OBC,Atal Pension Yojana
43,894100,Madhya Pradesh,ST,Mudra Loan
38,1043026,Karnataka,ST,Atal Pension Yojana
41,917405,Uttar Pradesh,ST,Ayushman Bharat
46,422950,Gujarat,ST,PM Kisan
44,191597,Rajasthan,SC,PM Kisan
44,1044759,Tamil Nadu,SC,Stand Up India
71,1195015,Rajasthan,EWS,Atal Pension Yojana
79,657877,Bihar,ST,Atal Pension Yojana
27,300971,Gujarat,ST,National Scholarship
69,854014,Gujarat,EWS,Atal Pension Yojana
78,105966,Maharashtra,OBC,PM Awas Yojana
30,391537,Maharashtra,SC,PM Awas Yojana
57,1134011,Uttar Pradesh,OBC,Atal Pension Yojana
48,705466,Rajasthan,SC,Ayushman Bharat
28,1180300,Rajasthan,General,National Scholarship
38,904060,Bihar,ST,Ayushman Bharat
32,349341,Karnataka,OBC,PM Kisan
55,834058,Uttar Pradesh,OBC,Mudra Loan
64,1144079,Uttar Pradesh,OBC,Atal Pension Yojana
36,241203,Gujarat,General,National Scholarship
58,584958,Uttar Pradesh,General,Atal Pension Yojana
76,899486,Maharashtra,SC,Atal Pension Yojana
71,725559,Bihar,EWS,Atal Pension Yojana
51,760252,Rajasthan,SC,Mudra Loan
50,965790,Gujarat,ST,Ayushman Bharat
42,432526,Maharashtra,SC,Atal Pension Yojana
32,622771,Maharashtra,SC,PM Awas Yojana
19,187524,Tamil Nadu,SC,PM Awas Yojana
25,395905,Maharashtra,ST,National Scholarship
43,817373,Madhya Pradesh,SC,Stand Up India
30,293140,Karnataka,ST,Stand Up India
29,981663,Karnataka,OBC,National Scholarship
49,836735,Gujarat,OBC,PM Kisan
57,325229,Tamil Nadu,OBC,Atal Pension Yojana
23,400460,Karnataka,General,National Scholarship
79,63517,Tamil Nadu,ST,Ayushman Bharat
28,93238,Bihar,General,Ayushman Bharat
74,99497,Maharashtra,ST,PM Kisan
68,939103,Uttar Pradesh,ST,Atal Pension Yojana
34,573318,Karnataka,General,National Scholarship
29,104930,Maharashtra,EWS,PM Kisan
41,213638,Bihar,ST,Ayushman Bharat
71,665703,West Bengal,SC,Atal Pension Yojana
39,942569,Rajasthan,SC,Stand Up India
41,319546,West Bengal,ST,PM Awas Yojana
45,1032425,Maharashtra,EWS,National Scholarship
65,890950,Maharashtra,SC,Atal Pension Yojana
52,755396,Bihar,EWS,Atal Pension Yojana
71,525504,Karnataka,ST,Atal Pension Yojana
43,520280,Bihar,ST,Atal Pension Yojana
35,449274,Tamil Nadu,SC,Stand Up India
74,738400,Madhya Pradesh,SC,Atal Pension Yojana
19,383239,Rajasthan,OBC,Mudra Loan
56,1015785,Rajasthan,OBC,Atal Pension Yojana
49,728849,Madhya Pradesh,ST,Ayushman Bharat
32,640532,Rajasthan,EWS,Stand Up India
19,361114,Gujarat,EWS,Mudra Loan
65,885874,Uttar Pradesh,General,Atal Pension Yojana
66,104976,Rajasthan,OBC,Ayushman Bharat
22,923514,Rajasthan,SC,Mudra Loan
25,334557,West Bengal,SC,National Scholarship
49,977684,Karnataka,General,Atal Pension Yojana
73,335239,Karnataka,OBC,Atal Pension Yojana
29,311356,Bihar,OBC,Mudra Loan
40,1108578,Gujarat,OBC,National Scholarship
19,855512,Madhya Pradesh,OBC,National Scholarship
24,875231,Rajasthan,General,Mudra Loan
45,631296,Madhya Pradesh,General,Mudra Loan
74,269473,Madhya Pradesh,SC,Atal Pension Yojana
59,447292,Gujarat,OBC,Atal Pension Yojana
58,163210,Uttar Pradesh,General,Ayushman Bharat
50,608608,West Bengal,ST,Ayushman Bharat
71,662509,Maharashtra,ST,Atal Pension Yojana
66,959161,Bihar,SC,Atal Pension Yojana
67,824387,Gujarat,EWS,Atal Pension Yojana
59,1126816,West Bengal,SC,Atal Pension Yojana
24,231786,West Bengal,General,National Scholarship
77,249365,Bihar,ST,Atal Pension Yojana
60,230231,Gujarat,SC,Atal Pension Yojana
53,723224,West Bengal,General,Ayushman Bharat
72,1115222,Tamil Nadu,OBC,Atal Pension Yojana
73,294126,Uttar Pradesh,EWS,Atal Pension Yojana
40,394263,Bihar,ST,Ayushman Bharat
35,1011871,Madhya Pradesh,OBC,Stand Up India
46,227450,Gujarat,OBC,National Scholarship
77,258104,Karnataka,ST,Atal Pension Yojana
24,927061,Tamil Nadu,SC,Mudra Loan
21,1070702,Tamil Nadu,EWS,National Scholarship
31,294987,Uttar Pradesh,ST,Atal Pension Yojana
29,160459,Rajasthan,SC,PM Kisan
63,1076931,Gujarat,General,Atal Pension Yojana
64,275475,Tamil Nadu,OBC,Atal Pension Yojana
75,1105272,West Bengal,SC,Atal Pension Yojana
30,539753,Bihar,EWS,National Scholarship
60,1092016,West Bengal,SC,Atal Pension Yojana
21,1151534,Madhya Pradesh,EWS,National Scholarship
27,1119866,Madhya Pradesh,SC,Mudra Loan
24,1048256,Maharashtra,EWS,National Scholarship
43,1187488,Gujarat,ST,Ayushman Bharat
75,445032,Rajasthan,ST,Atal Pension Yojana
26,860173,Uttar Pradesh,OBC,National Scholarship
57,82845,Maharashtra,General,PM Kisan
76,700613,Uttar Pradesh,SC,Atal Pension Yojana
52,1097362,Uttar Pradesh,General,Atal Pension Yojana
40,452261,West Bengal,OBC,National Scholarship
35,433199,Uttar Pradesh,General,Stand Up India
54,439562,Gujarat,ST,Mudra Loan
80,1106141,Madhya Pradesh,SC,Atal Pension Yojana
74,288456,Uttar Pradesh,General,Atal Pension Yojana
33,89742,West Bengal,EWS,Ayushman Bharat
65,183358,Karnataka,SC,Ayushman Bharat
35,841806,Rajasthan,ST,PM Kisan
63,166659,West Bengal,SC,PM Kisan
18,685409,Uttar Pradesh,ST,National Scholarship
72,207739,Maharashtra,ST,Atal Pension Yojana
27,831446,Maharashtra,SC,Mudra Loan
54,152492,Madhya Pradesh,SC,PM Kisan
60,1043150,Bihar,SC,Atal Pension Yojana
40,836885,Uttar Pradesh,General,Atal Pension Yojana
65,905043,Uttar Pradesh,General,Atal Pension Yojana
60,262759,Maharashtra,OBC,Atal Pension Yojana
59,703266,Maharashtra,General,Atal Pension Yojana
34,605627,Madhya Pradesh,EWS,National Scholarship
51,138601,Tamil Nadu,General,PM Awas Yojana
62,560381,Maharashtra,EWS,Atal Pension Yojana
76,611572,Karnataka,OBC,Atal Pension Yojana
22,1047149,Maharashtra,EWS,Mudra Loan
76,982801,Karnataka,EWS,Atal Pension Yojana
52,499097,Rajasthan,ST,PM Awas Yojana
48,834854,Uttar Pradesh,EWS,PM Kisan
58,504224,Uttar Pradesh,OBC,Atal Pension Yojana
48,494117,Madhya Pradesh,EWS,PM Awas Yojana
67,999957,Gujarat,EWS,Atal Pension Yojana
57,812603,Uttar Pradesh,SC,Atal Pension Yojana
78,1143067,Gujarat,EWS,Atal Pension Yojana
52,993843,Bihar,EWS,National Scholarship
45,748765,Bihar,EWS,Mudra Loan
44,127332,Uttar Pradesh,SC,Ayushman Bharat
29,997611,Uttar Pradesh,SC,Mudra Loan
67,80951,West Bengal,EWS,Ayushman Bharat
59,789414,Bihar,EWS,Atal Pension Yojana
80,525735,Maharashtra,EWS,Atal Pension Yojana
46,562824,Maharashtra,SC,Stand Up India
78,950320,Uttar Pradesh,SC,Atal Pension Yojana
59,999530,Rajasthan,OBC,Atal Pension Yojana
79,376825,West Bengal,SC,Atal Pension Yojana
55,587254,Karnataka,General,Stand Up India
38,189389,Bihar,EWS,PM Awas Yojana
75,163310,Rajasthan,OBC,PM Kisan
28,727862,Madhya Pradesh,ST,National Scholarship
69,1016757,Maharashtra,ST,Atal Pension Yojana
65,623002,Maharashtra,EWS,Atal Pension Yojana
30,654126,Gujarat,General,Ayushman Bharat
46,645561,Uttar Pradesh,SC,PM Kisan
26,186133,Karnataka,General,PM Awas Yojana
49,806852,Uttar Pradesh,EWS,Ayushman Bharat
40,359438,Rajasthan,SC,PM Awas Yojana
20,315693,Gujarat,OBC,Mudra Loan
33,238564,Uttar Pradesh,ST,Mudra Loan
21,948342,Madhya Pradesh,EWS,Mudra Loan
66,1159767,Karnataka,ST,Atal Pension Yojana
44,243273,West Bengal,ST,PM Awas Yojana
66,266387,Rajasthan,OBC,Atal Pension Yojana
55,989419,Karnataka,OBC,PM Kisan
73,117992,West Bengal,SC,Ayushman Bharat
36,636076,Rajasthan,ST,PM Kisan
50,471913,Uttar Pradesh,EWS,PM Kisan
72,1013694,Uttar Pradesh,OBC,Atal Pension Yojana
44,125297,West Bengal,OBC,Ayushman Bharat
60,489828,West Bengal,SC,Atal Pension Yojana
53,501177,Karnataka,SC,Ayushman Bharat
76,486628,Rajasthan,General,Atal Pension Yojana
60,487537,West Bengal,OBC,Atal Pension Yojana
59,635649,Bihar,ST,Atal Pension Yojana
42,897013,Madhya Pradesh,ST,PM Kisan
18,819807,Uttar Pradesh,EWS,Mudra Loan
67,1075647,Bihar,EWS,Atal Pension Yojana
18,1070023,Rajasthan,EWS,National Scholarship
78,173704,Gujarat,EWS,PM Kisan
49,1014332,West Bengal,OBC,Ayushman Bharat
62,234386,Gujarat,General,Atal Pension Yojana
77,879661,Gujarat,OBC,Atal Pension Yojana
46,666027,Rajasthan,OBC,Stand Up India
42,202042,Gujarat,SC,Stand Up India
51,264498,Maharashtra,EWS,Mudra Loan
27,319671,Gujarat,SC,Mudra Loan
32,397444,Gujarat,General,PM Kisan
56,1114598,Uttar Pradesh,ST,Atal Pension Yojana
27,164458,Uttar Pradesh,General,PM Awas Yojana
41,268858,West Bengal,EWS,PM Kisan
28,557273,Tamil Nadu,OBC,Mudra Loan
24,50245,Uttar Pradesh,ST,PM Awas Yojana
75,417269,Gujarat,OBC,Atal Pension Yojana
59,79552,Maharashtra,ST,PM Kisan
76,737112,Maharashtra,EWS,Atal Pension Yojana
46,251977,Madhya Pradesh,General,Stand Up India
54,390848,West Bengal,ST,PM Awas Yojana
27,774516,West Bengal,SC,National Scholarship
37,349208,Madhya Pradesh,SC,PM Awas Yojana
37,922762,Tamil Nadu,ST,PM Awas Yojana
69,602892,Uttar Pradesh,SC,Atal Pension Yojana
41,324903,Karnataka,EWS,PM Kisan
33,555059,Karnataka,EWS,Atal Pension Yojana
48,694845,Uttar Pradesh,OBC,PM Kisan
36,832405,Maharashtra,EWS,Mudra Loan
55,190593,Tamil Nadu,General,PM Kisan
59,760678,West Bengal,OBC,Atal Pension Yojana
